year,season,deaths
2007,Winter,7
2007,Spring,6
2007,Summer,5
2007,Fall,6
2008,Winter,3
2008,Spring,6
2008,Summer,5
2008,Fall,8
2009,Winter,7
2009,Spring,3
2009,Summer,3
2009,Fall,2
2010,Winter,2
2010,Spring,4
2010,Summer,4
2010,Fall,0
2011,Winter,6
2011,Spring,6
2011,Summer,5
2011,Fall,5
2012,Winter,7
2012,Spring,4
2012,Summer,5
2012,Fall,5
2013,Winter,3
2013,Spring,6
2013,Summer,7
2013,Fall,5
2014,Winter,5
2014,Spring,2
2014,Summer,4
2014,Fall,4
2015,Winter,4
2015,Spring,7
2015,Summer,4
2015,Fall,2
2016,Winter,9
2016,Spring,6
2016,Summer,6
2016,Fall,2
2017,Winter,2
2017,Spring,6
2017,Summer,3
2017,Fall,6
2018,Winter,6
2018,Spring,4
2018,Summer,3
2018,Fall,11
2019,Winter,4
2019,Spring,4
2019,Summer,5
2019,Fall,1
2020,Winter,8
2020,Spring,7
2020,Summer,4
2020,Fall,6
2021,Winter,5
2021,Spring,5
2021,Summer,3
2021,Fall,4
2022,Winter,3
2022,Spring,1
2022,Summer,6
2022,Fall,8
2023,Winter,3
2023,Spring,7
2023,Summer,1
2023,Fall,4
